Filename,Predictions
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,21-30
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,0-10
0-10,11-20
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,21-30
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,21-30
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,21-30
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
0-10,21-30
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,31-40
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,21-30
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,0-10
0-10,11-20
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,0-10
0-10,0-10
0-10,11-20
0-10,11-20
0-10,11-20
0-10,11-20
0-10,0-10
